category,altLabel
Education/Educational evaluation,Academic performance
Education/Educational evaluation,Student achievement
Education/Educational evaluation,Student progress
Education/Educational management,Educational year
Science/Physical sciences,Acoustic waves
Science/Physical sciences,Sound
Science/Physical sciences,Vibrations
Information and communication/Documentary information processing,Accessions
Information and communication/Documentary information processing,Acquisitions policy
"Politics, law and economics/Organization and management",
"Politics, law and economics/Legal systems",Legal actions
"Politics, law and economics/Legal systems",Legal administration
"Politics, law and economics/Legal systems",Legal practice
Education/Educational institutions,
Countries and country groupings/Asia and the Pacific,
Countries and country groupings/Africa,
Culture/Languages,
Social and human sciences/Population,Age composition
"Politics, law and economics/Agriculture",
"Politics, law and economics/Agriculture",Arable land
"Politics, law and economics/Materials and products",Agricultural commodities
"Politics, law and economics/Agriculture",Farming
"Politics, law and economics/Agriculture",
Countries and country groupings/Europe,
Countries and country groupings/Africa,
Countries and country groupings/Geographic groupings,
Countries and country groupings/Asia and the Pacific,
Countries and country groupings/Americas and the Caribbean,
Culture/Languages,Central American Indian languages
Culture/Languages,North American Indian languages
Culture/Languages,South American Indian languages
Science/Biology,
Countries and country groupings/Geographic groupings,
Countries and country groupings/Europe,
Countries and country groupings/Africa,
Countries and country groupings/Americas and the Caribbean,
"Politics, law and economics/Agriculture",Dairy farming
"Politics, law and economics/Agriculture",Stock farming
Science/Natural sciences,Physical anthropology
Countries and country groupings/Americas and the Caribbean,
Countries and country groupings/Ethnic and religious groupings,Arab countries
Culture/History,
Culture/Visual arts,
Information and communication/Information management,Archive administration
Information and communication/Documentary information systems,Archive agencies
Information and communication/Documentary information systems,Archive centres
Countries and country groupings/Americas and the Caribbean,
Countries and country groupings/Europe,
Countries and country groupings/Europe,
Culture/Art,
Culture/Art,
Culture/Art,Graphic designers
Culture/Art,Photographers
Culture/Art,
Countries and country groupings/Americas and the Caribbean,
Countries and country groupings/Political groupings,
Countries and country groupings/Asia and the Pacific,
Countries and country groupings/Asia and the Pacific,Pacific region
Culture/Languages,Oriental languages
Science/Space sciences,Celestial bodies
Science/Space sciences,
Science/Meteorology,Air
Science/Meteorology,Terrestrial atmosphere
Social and human sciences/Psychology,
Countries and country groupings/Asia and the Pacific,
Countries and country groupings/Europe,
Culture/Languages,
Culture/Literature,Scriptwriters
Countries and country groupings/Europe,
Countries and country groupings/Europe,
Countries and country groupings/Americas and the Caribbean,Commonwealth of the Bahamas
Countries and country groupings/Asia and the Pacific,
Countries and country groupings/Geographic groupings,
Countries and country groupings/Asia and the Pacific,
Countries and country groupings/Americas and the Caribbean,
Education/Basic and general study subjects,
Social and human sciences/Psychology,Human behaviour
Social and human sciences/Social sciences,
Countries and country groupings/Europe,
Countries and country groupings/Europe,
Countries and country groupings/Americas and the Caribbean,British Honduras
Countries and country groupings/Africa,Dahomey
Countries and country groupings/Americas and the Caribbean,
Countries and country groupings/Asia and the Pacific,
Science/Biology,Human biochemistry
Science/Biology,Biological sciences
Science/Biology,Biomechanics
Science/Biology,Human biophysics
"Politics, law and economics/Manufacturing and transport engineering",Bioengineering
"Politics, law and economics/Manufacturing and transport engineering",Biological engineering
"Politics, law and economics/Manufacturing and transport engineering",Genetic engineering
Countries and country groupings/Americas and the Caribbean,Plurinational State of Bolivia
Information and communication/Information sources,
Countries and country groupings/Europe,
