category,label
Countries and country groupings/Europe,Yugoslavia
Information and communication/Information industry,Archive personnel
"Politics, law and economics/Materials and products",Iron
Culture/Religion,Primitive religions
"Politics, law and economics/Finance and trade",Local finance
Education/Educational planning,Educational manpower
Education/Educational policy,Language of instruction
Science/Medical sciences,Neuropsychology
Culture/Linguistics,Bilingualism
Culture/Languages,Kurdish
Education/Educational evaluation,Academic achievement
Culture/Literature,Fiction
"Politics, law and economics/Industry",Petroleum industry
Science/Science and research management,Research priorities
Culture/Philosophy and ethics,Ethics
Culture/Performing arts,Puppets
Culture/Literature,Caribbean literature
"Politics, law and economics/Personnel management",Workers
"Science/Pollution, disasters and safety",Climate change
Countries and country groupings/Asia and the Pacific,Maldives
Information and communication/Information technology (hardware),Electronic circuits
Education/Educational sciences and environment,Retention
Science/Natural resources,Animal behaviour
"Politics, law and economics/Organization and management",Administrative reform
Education/Educational sciences and environment,Educational sciences
"Politics, law and economics/Agriculture",Agricultural biology
"Politics, law and economics/Economics",Economic evaluation
Education/Educational population,Graduates
Education/Teaching and training,Teaching
Information and communication/Information sciences,Communication information
"Politics, law and economics/Manufacturing and transport engineering",Ergonomics
"Politics, law and economics/Materials and products",Inks
Science/Natural resources,Biosphere
Science/Natural resources,Wind power
Science/Earth sciences,Geophysics
Science/Hydrology,Water
Countries and country groupings/Americas and the Caribbean,Costa Rica
Social and human sciences/Social sciences,Social scientists
Science/Science and research management,Research
"Politics, law and economics/Legal systems",Legal liability
"Politics, law and economics/Legal systems",Comparative law
Education/Technical and vocational study subjects,Teaching practice
Science/Science and research management,Technicians
Culture/Performing arts,Traditional theatre
"Politics, law and economics/International relations",Global public goods
Social and human sciences/Social policy and welfare,Medical centres
Information and communication/Documentary information systems,Libraries for the blind
Science/Medical sciences,Drugs
Culture/Religion,Moslems
Science/Natural sciences,Plant diseases
Culture/Cultural policy and planning,Cultural programmes
Countries and country groupings/Europe,Czech Republic
Science/Physical sciences,Sound wave propagation
Science/Biology,Motor development
"Politics, law and economics/Politics and government",Political movements
"Politics, law and economics/Equipment and facilities",Hydrographs
Social and human sciences/Population,Brain drain
"Politics, law and economics/Labour",Labour economics
Culture/Religion,Saints
Culture/Performing arts,Pantomime
Education/Basic and general study subjects,Alcohol education
