domaine,subDomine,label,altLabels
Countries and country groupings,Europe,Yugoslavia,
Information and communication,Information industry,Archive personnel,
"Politics, law and economics",Materials and products,Iron,
Culture,Religion,Primitive religions,"Fetishism, Totemism"
"Politics, law and economics",Finance and trade,Local finance,Metropolitan finance
Education,Educational planning,Educational manpower,
Education,Educational policy,Language of instruction,
Science,Medical sciences,Neuropsychology,
Culture,Linguistics,Bilingualism,
Culture,Languages,Kurdish,
Education,Educational evaluation,Academic achievement,"Academic performance, Student achievement, Student progress"
Culture,Literature,Fiction,
"Politics, law and economics",Industry,Petroleum industry,Oil industry
Science,Science and research management,Research priorities,Research needs
Culture,Philosophy and ethics,Ethics,"Moral philosophy, Morality"
Culture,Performing arts,Puppets,Puppet theatre
Culture,Literature,Caribbean literature,
"Politics, law and economics",Personnel management,Workers,
Science,"Pollution, disasters and safety",Climate change,
Countries and country groupings,Asia and the Pacific,Maldives,
Information and communication,Information technology (hardware),Electronic circuits,"Circuits, Computer circuits, Digital circuits, Logic and switching circuits"
Education,Educational sciences and environment,Retention,
Science,Natural resources,Animal behaviour,"Ethology, Hibernation"
"Politics, law and economics",Organization and management,Administrative reform,
Education,Educational sciences and environment,Educational sciences,Pedagogy
"Politics, law and economics",Agriculture,Agricultural biology,
"Politics, law and economics",Economics,Economic evaluation,
Education,Educational population,Graduates,
Education,Teaching and training,Teaching,"Instruction, Teaching process"
Information and communication,Information sciences,Communication information,
"Politics, law and economics",Manufacturing and transport engineering,Ergonomics,"Human engineering, Human factors engineering"
"Politics, law and economics",Materials and products,Inks,
Science,Natural resources,Biosphere,
Science,Natural resources,Wind power,
Science,Earth sciences,Geophysics,
Science,Hydrology,Water,
Countries and country groupings,Americas and the Caribbean,Costa Rica,
Social and human sciences,Social sciences,Social scientists,
Science,Science and research management,Research,Scientific research
"Politics, law and economics",Legal systems,Legal liability,Civil liability
"Politics, law and economics",Legal systems,Comparative law,
Education,Technical and vocational study subjects,Teaching practice,Student teaching
Science,Science and research management,Technicians,
Culture,Performing arts,Traditional theatre,
"Politics, law and economics",International relations,Global public goods,
Social and human sciences,Social policy and welfare,Medical centres,"Clinics, Health centres"
Information and communication,Documentary information systems,Libraries for the blind,
